"Sentence Nr";"Source sentence";"Human translated sentence";"First machine translated sentence";"First machine translated sentence bleu score"
"2269";"If there is any abnormality of fistula or structure then the rectification of these deformities is possible through surgery .";"यदि फिसचुला या अन्य संरचनात्मक असामान्यताएँ हैं तो इन विकृतियों का सुधार ऑपरेशन द्वारा संभव है ।";"यदि फिस्टुला या अन्य संरचनात्मक असामान्यताएं हैं , तो इन विकृतियों को सर्जरी द्वारा ठीक किया जा सकता है।";"14.025775"
"2270";"If there is obstruction in the urinary passage then there can be the need to broaden or opening it .";"यदि मूत्रमार्ग में रुकावट है तो इस को चौड़ा करने या खोलने की जरुरत हो सकती है ।";"यदि मूत्रमार्ग में रुकावट है , तो इसे चौड़ा करने या खोलने की आवश्यकता हो सकती है।";"37.570488"
"2271";"If the problem is to not being able to have control on urination for long duration then by the treatment of problem the quality of life can be improved .";"यदि दीर्घकालीन पेशाब पर नियंत्रण न रखने की समस्या है तो समस्या का उपचार करने से जीवन की गुणवत्ता में सुधार हो सकता है ।";"यदि पुरानी मूत्र असंयम एक समस्या है , तो समस्या का इलाज करने से जीवन की गुणवत्ता में सुधार हो सकता है।";"40.211746"
"2272";"If the cause is not diagnosed then the treatment is possible through behavioural techniques , medicine and surgery .";"यदि कारण का पता नहीं लग पाता है तो उपचार व्यावहारिक , विधि , दवा , ऑपरेशन द्वारा संभव होता है ।";"यदि कारण का पता नहीं चल पाता है तो व्यवहारिक , विधि , औषधि , ऑपरेशन से उपचार संभव है।";"29.701456"
"2273";"If not able to have control on urination then the consumption of water , liquid and drinking substances should be done in limited quantity .";"यदि पेशाब पर नियंत्रण नहीं रख पाते तो पानी , द्रव , पेय पदार्थो का सीमित मात्रा में सेवन करना चाहिए ।";"यदि आप पेशाब को नियंत्रित नहीं कर पा रहे हैं तो पानी , तरल पदार्थ और पेय पदार्थों का सेवन सीमित मात्रा में ही करना चाहिए।";"10.972049"
"2274";"Do not consume tea , coffee , carbonated drinking substances or it should be done in as much less quantity as possible along with it .";"साथ ही चाय , कॉफी , कार्बोनेटेट पेय पदार्थों का सेवन न करें या कम से कम मात्रा में करना चाहिए ।";"साथ ही चाय , कॉफी , कार्बोनेटेड पेय पदार्थों का सेवन न करें या कम से कम कम मात्रा में ही करना चाहिए।";"65.668074"
"2275";"Reduce the weight if the weight is excessive .";"यदि वजन ज्यादा है तो वजन कम करें ।";"अगर आपका वजन ज्यादा है तो वजन कम करें।";"58.739491"
"2276";"If infested with any type of allergy , cough , constipation then get the treatment done .";"यदि किसी प्रकार की एलर्जी , खाँसी , कब्ज से ग्रस्त हैं तो उपचार कराएँ ।";"अगर आप किसी भी तरह की एलर्जी , खांसी , कब्ज से पीड़ित हैं तो इलाज कराएं।";"16.753520"
"2277";"Do exercise of pelvis and stomach .";"कुल्हे और पेट के व्यायाम करें ।";"कूल्हे और पेट के व्यायाम करें।";"43.012509"
"2278";"Mental tension is an important reason for not having control over urination .";"मानसिक तनाव पेशाब पर नियंत्रण न होने का महत्वपूर्ण कारण है ।";"मानसिक तनाव पेशाब को नियंत्रित न करने का एक अहम कारण है।";"14.991107"
"2279";"Tension , worry are lethal for the physical and mental health .";"तनाव , चिंता , शारीरिक , मानसिक स्वास्थ्य के लिए घातक है ।";"तनाव , चिंता , शारीरिक और मानसिक स्वास्थ्य के लिए हानिकारक हैं।";"48.861032"
"2280";"Stay away from these as much as possible , live life happily , free of tension and worry .";"यथासंभव इन से दूर रहें , जीवन तनाव , चिंतामुक्त , खुशीपूर्वक गुजारें ।";"जितना हो सके इनसे दूर रहें , जीवन को तनावमुक्त , चिंतामुक्त , खुशी से जिएं।";"22.894157"
"2281";"In these women urine gets leaked on because of the reason of exerting pressure , coughing , sneezing .";"इन महिलाओं में जोर लगने , खाँसने , छींकने के कारण पेशाब निकलता है ।";"इन महिलाओं में तनाव , खांसने , छींकने के कारण पेशाब निकलता है।";"42.643561"
"2282";"If relief is not got from the above mentioned efforts then they should do exercise of hips and muscles of the lower part of the pelvis .";"यदि उपरोक्त प्रयासों से राहत नहीं मिलती तो इन को कूल्हों , पेडू के निचले हिस्से की मांसपेशियों के व्यायाम करने चाहिए ।";"यदि उपरोक्त प्रयासों से राहत नहीं मिलती है , तो उन्हें कूल्हों , निचले श्रोणि की मांसपेशियों के लिए व्यायाम करना चाहिए।";"35.219988"
"2283";"Various methods of treatment have been developed in these patients .";"इन मरीजों में उपचार की अनेक विधियाँ विकसित की गई हैं ।";"इन रोगियों में उपचार के कई तरीके विकसित किए गए हैं।";"8.139166"
"2284";"If these increases the will power in patients then also relief may be got from the problems .";"यदि यह मरीज की इच्छा शक्ति में वृद्धि करती है तो भी समस्याओं से राहत मिल सकती है ।";"यदि यह रोगी की इच्छा शक्ति को बढ़ाता है , तो भी समस्याओं से छुटकारा पाया जा सकता है।";"20.973426"
"2285";"These patients get relief in 80 % by using the instrument placed close to the genitals by which the lower part of the urinary bladder gets support .";"इन मरीजो को योनि से लगने वाले यंत्र जिस से मूत्राशय के निचले हिस्से को सहारा मिलता है का उपयोग करने से भी 80 % में राहत मिल जाती है ।";"इन रोगियों को मूत्राशय के निचले हिस्से को सहारा देने वाले योनि उपकरण का उपयोग करने से भी 80 % में राहत मिलती है।";"41.568902"
"2286";"Similarly , plugs are also available in the foreign countries to block the passage of urinary opening or else injections of dense sticky substance is also put in order to block the passage in the urinary tube .";"इसी तरह मूत्रद्वार का रास्ता बंद करने के लिए प्लग भी विदेशों में उपलब्ध है या फिर मूत्रनली में रास्ता रोकने के लिए गाढ़े लिसलिसे पदार्थ के इंजेक्शन लगाए जा सकते हैं ।";"इसी तरह , मूत्रमार्ग के मार्ग को अवरुद्ध करने के लिए विदेशों में भी प्लग उपलब्ध हैं या मूत्रवाहिनी में मार्ग को अवरुद्ध करने के लिए एक मोटी लाइस पदार्थ के इंजेक्शन का उपयोग किया जा सकता है।";"9.428509"
"2287";"If relief is not obtained from the above mentioned efforts then women can become problem free through surgery .";"यदि उपरोक्त प्रयासों से राहत नहीं मिलती तो ऑपरेशन से महिलाएँ समस्यामुक्त हो सकती हैं ।";"यदि उपरोक्त प्रयासों से राहत नहीं मिलती है तो महिलाएं ऑपरेशन से मुक्त हो सकती हैं।";"45.788314"
"2288";"Because of not having control over urination in the state of hyperactivity of urinary bladder , women stay in haste , their urine can leak .";"मूत्राशय की सक्रियता के कारण पेशाब में नियंत्रण न होने की दशा में महिलाएँ हड़बड़ी में रहती हैं , उन का पेशाब निकल सकता है";"मूत्राशय की अधिक सक्रियता के कारण पेशाब पर नियंत्रण के अभाव में महिलाएं दहशत की स्थिति में होती हैं , उनका पेशाब बाहर आ सकता है।";"14.054613"
"2289";"This is the second most important reason of not being able to have control on urination .";"यह पेशाब पर नियंत्रण न रख पाने का दूसरा मह्त्त्वपूर्ण कारण है ।";"पेशाब को नियंत्रित न कर पाने का यह एक और महत्वपूर्ण कारण है।";"8.130851"
"2290";"If this complication is because of the diseases of nerve cells then a proper treatment of disease is essential .";"यदि यह समस्या स्नायुतंत्र के रोगों के कारण है तो रोग का समुचित उपचार आवश्यक है ।";"यदि यह समस्या तंत्रिका तंत्र के रोगों के कारण है , तो रोग का उचित उपचार आवश्यक है।";"35.527390"
"2291";"If the cause is not known in these patients then they must be given training to have control on urination .";"यदि इन मरीजों में कारण का पता नहीं लग पाता है तो इन को पेशाब पर नियंत्रण करने का प्रशिक्षण देना चाहिए ।";"यदि इन रोगियों में कारण ज्ञात नहीं है , तो उन्हें पेशाब को नियंत्रित करने के लिए प्रशिक्षित किया जाना चाहिए।";"5.872253"
"2292";"Stop urine for a definite time and the duration must be tried to increase up to 3-4 hours gradually , do some exercise of hips and pelvis along with it .";"पेशाब को निश्चित समय के लिए रोकें और धीरे - धीरे इस का समय बढ़ा कर 3 - 4 घंटे तक करने का प्रयास करना चाहिए , साथ ही कूल्हे , पेडू के व्यायाम करें ।";"एक निश्चित समय के लिए पेशाब को रोकने की कोशिश करें और धीरे - धीरे समय को बढ़ाकर 3 - 4 घंटे करें , साथ ही कूल्हे , श्रोणि व्यायाम भी करें।";"31.415666"
"2293";"Control on urine is done through the medium of brain , spinal cord and nerves .";"मूत्र पर नियंत्रण मस्तिष्क और मेरूदंड , स्नायु के माध्यम से होता है ।";"मूत्र का नियंत्रण मस्तिष्क और रीढ़ की हड्डी , नसों के माध्यम से किया जाता है।";"16.451929"
"2294";"If the will power is made strong , the idea is repeatedly revised in the mind that I am capable of having control on my urinary system then control can be obtained .";"यदि इच्छाशक्ति मजबूत की जाती है , बार - बार मन में विचार दोहराये जाते हैं कि मैं अपने मूत्रसंस्थान का नियंत्रण करने में सक्षम हूँ तो नियंत्रण प्राप्त हो सकता है ।";"इच्छाशक्ति मजबूत हो , मन में बार - बार विचार आ रहे हों कि मैं अपने मूत्र पथ को नियंत्रित करने में सक्षम हूं , तो नियंत्रण प्राप्त किया जा सकता है।";"14.221178"
"2295";"Around 85 % also get relief by exciting the muscles of pelvis by electric waves .";"पेडू की मांसपेशियों को विद्युत तरंगों से उत्तेजित करने से भी करीब 85 % को समस्या से राहत मिल सकती है ।";"पैल्विक मांसपेशियों को विद्युत तरंगों से उत्तेजित करने से भी लगभग 85 % समस्याओं से छुटकारा मिल सकता है।";"40.938999"
"2296";"Many medicines are available as solution to these types of problems .";"इस तरह की समस्याओं के सामाधान के कई दवा उपलब्ध है ।";"ऐसी समस्याओं को हल करने के लिए कई दवाएं उपलब्ध हैं।";"4.839577"
"2297";"They are advised to take anti-cholinergic or anti-depressant medicines .";"इनको एंटीकोलिनर्जिक या अवसाद प्रतिरोधी दवा के सेवन की सलाह दी जा सकती है ।";"उन्हें एंटीकोलिनर्जिक या अवसाद रोधी दवा लेने की सलाह दी जा सकती है।";"34.152860"
"2298";"Problem in the outflow of urine on excessive filling of urine in urinary bladder , obstruction in passage , damage of the nervous system , consumption of antipsoric medicine or mental tension , may be the reasons of habit .";"ज्यादा मात्रा में मूत्राशय भरने के कारण पेशाब निकलने की समस्या रास्ते में रुकावट , स्नायु तंत्र के क्षतिग्रस्त होने , एंटीस्पाजोरिक दवा के सेवन या मानसिक तनाव , आदत के कारण हो सकती है ।";"मूत्राशय के अत्यधिक भर जाने के कारण यूरिन पास करने की समस्या रास्ते में रुकावट , तंत्रिका तंत्र को नुकसान , एंटीस्पास्मोडिक दवा लेने या मानसिक तनाव , आदत के कारण हो सकती है।";"38.359559"
"2299";"By finding the root cause treatment should be done .";"मूल कारणों का पता लगा कर उपचार करना चाहिए ।";"मूल कारण का पता लगाकर इलाज किया जाना चाहिए।";"9.442944"
"2300";"If the problem is serious then women can urinate at regular intervals by putting a tube in the urinary tract or the urinary tract of these can be broadened or the treatment is possible through surgery .";"यदि समस्या गंभीर है तो महिलाएँ नियमित अंतराल पर मूत्र नली में नली डाल कर पेशाब कर सकती हैं या इनकी मूत्र नली को चौड़ा किया जा सकता है या ऑपरेशन द्वारा उपचार संभव है ।";"यदि समस्या गंभीर है , तो महिलाएं नियमित अंतराल पर मूत्र पथ में एक ट्यूब डालकर पेशाब कर सकती हैं , या उनके मूत्र पथ को फैलाया जा सकता है , या सर्जरी के माध्यम से उपचार संभव है।";"23.277910"
"2301";"Unable to keep control on urination , self leaking , feeling hasty , is a common problem in women and their quality of life is affected because of this .";"पेशाब पर नियंत्रण न रख पाना , स्वतः निकलना , हड़बड़ी होना , महिलाओं में आम समस्या है जिससे इन के जीवन की गुणवत्ता प्रभावित होती है ।";"पेशाब को नियंत्रित करने में असमर्थता , सहज पेशाब , धड़कन महिलाओं में आम समस्याएं हैं , जो उनके जीवन की गुणवत्ता को प्रभावित करती हैं।";"9.744124"
"2302";"The complication of leaking of urine on exerting pressure may occur in 20 to 40 % adult females .";"जोर पड़ने पर पेशाब निकलने की समस्या करीब 20 से 40 % वयस्क महिलाओं में हो सकती है ।";"लगभग 20 से 40 प्रतिशत वयस्क महिलाओं में बल के साथ पेशाब करने की समस्या हो सकती है।";"16.378546"
"2303";"But the problem is not untreatable , women can become problem free by changing the life style , habits , doing exercise of hips and pelvis , medicine , treatment by surgery and other techniques .";"पर समस्या लाइलाज नहीं है , जीवनशैली , आदतों में बदलाव , पेडू , कूल्हों के व्यायाम , दवा , ऑपरेशन या अन्य विधियों से उपचार द्वारा महिलाएँ समस्यामुक्त हो सकती हैं ।";"लेकिन समस्या लाइलाज नहीं है , जीवनशैली , आदतें , पेल्विक , हिप एक्सरसाइज , दवा , ऑपरेशन या अन्य तरीकों में बदलाव करके महिलाएं इस समस्या से मुक्त हो सकती हैं।";"35.974854"
"2304";"Therefore these should not hesitate , should not feel embarrassed , should lead a healthy , normal life after getting treated by taking advice from a skilled doctor .";"अतः इन को झिझकना , शरमाना नहीं चाहिए , कुशल चिकित्सक से परामर्श ले कर उपचार करा कर स्वस्थ , सामान्य जीवन व्यतीत करें ।";"अत : उन्हें संकोच नहीं करना चाहिए , शरमाना चाहिए , कुशल चिकित्सक से परामर्श कर उपचार प्राप्त करना चाहिए और स्वस्थ , सामान्य जीवन व्यतीत करना चाहिए।";"33.460805"
"2305";"This discomfort can arise generally by peeing in the public place , drinking less water and not cleaning the genitals properly .";"आमतौर पर सार्वजनिक शौचालय में पेशाब करने , कम पानी पीने तथा यौनांगों की ठीक से सफाई न होने से यह तकलीफ हो जाती है ।";"आमतौर पर यह समस्या सार्वजनिक शौचालयों में पेशाब करने , कम पानी पीने और जननांगों की ठीक से सफाई न करने के कारण होती है।";"39.241107"
"2306";"The complaint of urine infection can occur both in men and women but this complaint is found more in women because the inner part of their genitals stays open .";"यूरिन इन्फेक्शन की शिकायत पुरुष व स्त्री किसी को भी हो सकती है पर यह शिकायत महिलाओं को ज्यादा होती है , क्योंकि उनके गुप्तांग का भीतरी हिस्सा खुला रहता है ।";"यूरिन इन्फेक्शन की शिकायत किसी भी पुरुष और महिला को हो सकती है , लेकिन यह शिकायत महिलाओं में ज्यादा होती है , क्योंकि उनके जननांगों का अंदरूनी हिस्सा खुला रहता है।";"34.407468"
"2307";"Slight dirt , showing carelessness in hygiene , wearing dirty panty repeatedly or wearing wet panty give birth to urine infection and may give discomfort of many days to the person .";"जरा सी गंदगी , सफाई में लापरवाही बरतना , गंदी पैंटी बारबार पहनना या गीली पैंटी पहनना यूरिन इन्फेक्शन को जन्म दे कर व्यक्ति को कई दिनों की तकलीफ दे सकता है ।";"जरा सी भी गंदगी , सफाई में लापरवाही , बार - बार गंदी पैंटी पहनने या गीली पैंटी पहनने से यूरिन इन्फेक्शन हो सकता है और व्यक्ति को कई दिनों तक परेशानी हो सकती है।";"25.006682"
"2308";"Therefore , every person should stay beware of it .";"अतः हर व्यक्ति को इस से सावधान रहना चाहिए ।";"इसलिए सभी को इससे सावधान रहना चाहिए।";"9.469167"
"2309";"The women should especially pay more attention to the hygiene of their body .";"खासकर महिलाओं को तो अपने शरीर की साफसफाई का विशेष ध्यान रखना चाहिए ।";"खासकर महिलाओं को अपने शरीर की साफ - सफाई का खास ख्याल रखना चाहिए।";"19.104082"
"2310";"Those women should stay even more careful who have already faced this problem once .";"उन स्त्रियों को तो और भी ज्यादा सतर्क रहना चाहिए जिन्हें एक बार यह तकलीफ हो चुकी है ।";"जिन महिलाओं को यह समस्या एक बार हो चुकी है , उन महिलाओं को और भी ज्यादा सावधान रहना चाहिए।";"15.071676"
"2311";"When the menstruation stops after the age of 50-52 .";"50 - 52 की उम्र के बाद जब मासिकस्त्राव बंद हो जाता है ।";"50 - 52 की उम्र के बाद जब मासिक धर्म से खून आना बंद हो जाता है।";"49.628227"
"2312";"After the age of 50-52 the smoothness of the vaginal tract diminishes and the walls start becoming thin because of this , then the chance of infection increases very much .";"50 - 52 की उम्र के बाद योनिमार्ग की चिकनाहट खत्म होने लगती है व इस की दीवारें पतली होने लगती हैं , तब इन्फेक्शन की संभावना काफी बढ़ जाती है ।";"50 - 52 की उम्र के बाद योनि की चिकनाई खत्म होने लगती है और उसकी दीवारें पतली होने लगती हैं तो संक्रमण की संभावना काफी बढ़ जाती है।";"40.954348"
"2313";"The distorted form of urine infection is swelling in the vaginal tract and micturion with discomfort .";"यूरिन इंन्फेक्शन का विकृत रूप है , योनिमार्ग में सूजन व पेशाब का तकलीफ से आना ।";"मूत्र संक्रमण का विकृत रूप है , योनि में सूजन और पेशाब करने में कठिनाई।";"25.604182"
"2314";"In urine infection urine comes with obstruction and burning sensation .";"यूरिन इंन्फेक्शन में पेशाब जलन से व रुक - रुक कर आता है ।";"यूरिन इन्फेक्शन में जलन और रुक - रुक कर पेशाब आता है।";"21.979202"
"2315";"The stream of urine being distorted and not straight , intense burning sensation around the place of urine , onset of fever .";"पेशाब की धारा सीधी न आ कर टेढ़ीमेढ़ी आना , पेशाब की जगह के आसपास भयंकर जलन , बुखार आ जाना ।";"पेशाब की धारा सीधी नहीं आती , टेढ़ापन , पेशाब के स्थान के आसपास तेज जलन , बुखार।";"16.099125"
"2316";"In the condition of less urination the doctor puts a urinary bladder and tube .";"पेशाब कम आने की दशा में डाक्टर पेशाब की थैली व नली लगा देते हैं ।";"पेशाब कम होने की स्थिति में डॉक्टर यूरिन बैग और ट्यूब डालते हैं।";"5.832992"
"2317";"The reason for intense inflammation around the place of micturition is indeed the growth of E . Coli bacteria .";"पेशाब की जगह के आसपास भयंकर जलन का कारण इकोलाई जीवाणु का बढ़ जाना ही है ।";"पेशाब के स्थान के आसपास गंभीर जलन का कारण इकोली बैक्टीरिया की अतिवृद्धि के कारण होता है।";"11.643948"
"2318";"The occurrence of urinary infection in females may be a common thing but it is quite shameful and uncomfortable .";"स्त्रियों के लिए यूरिन इन्फेक्शन हो जाना भले ही आम बात हो तो पर यह काफी शर्मनाक और तकलीफदेह है ।";"यूरिन इन्फेक्शन महिलाओं के लिए आम हो सकता है , लेकिन यह काफी शर्मनाक और दर्दनाक होता है।";"16.652621"
"2319";"Not peeing at public places and drinking lots of water and cleaning the vaginal tract , wearing clean panty is important so that one can continue to stay safe from this uncomfortable disease as much as possible .";"सार्वजनिक जगहों पर पेशाब न जाना व पानी खूब पीना तथा योनीमार्ग की सफाई करना , साफ पैंटी पहनना जरूरी है ताकि यथासंभव इस तकलीफदेह बीमारी से बचा रहा जा सके ।";"यह जरूरी है कि सार्वजनिक स्थानों पर पेशाब न करें और खूब पानी पिएं और योनि को साफ करने के लिए साफ पैंटी पहनें ताकि इस परेशानी वाली बीमारी से जितना हो सके बचा जा सके।";"7.404681"
"2320";"After intercourse with husband the vaginal tract must be cleaned with water till inside so that inner cleanliness is maintained .";"पति के साथ संभोग के बाद योनिमार्ग को भीतर तक पानी से धोना भी जरूरी है ताकि भीतर की सफाई बनी रहे ।";"पति के साथ संभोग के बाद योनि को अंदर से पानी से धोना भी जरूरी है ताकि भीतर की सफाई बनी रहे।";"65.437681"
"2321";"Light , easily digestible food , carrot , papaya , cucumber , gourd , guava etc should be eaten a lot in food so that the stomach should remain clean and there should not be any constipation .";"खाने में हलका , सुपाच्य आहार , गाजर , पपीता , खीरा , ककड़ी , अमरूद आदि खूब लेने चाहिए ताकि पेट साफ रहे व कब्ज न हो ।";"हल्का , सुपाच्य आहार , गाजर , पपीता , खीरा , खीरा , अमरूद आदि अधिक मात्रा में लेना चाहिए ताकि पेट साफ रहे और कब्ज न रहे।";"50.300402"
"2322";"Lots of water should be consumed .";"खूब पानी पीना चाहिए ।";"खूब पानी पीना चाहिए।";"46.307772"
"2323";"The cancer of skin is generally of three types .";"त्वचा का कैंसर प्रायः 3 प्रकार का होता है ।";"त्वचा कैंसर आमतौर पर 3 प्रकार के होते हैं।";"10.147104"
"2324";"Squamous cell cancer , basal cell cancer , melanin cell cancer .";"स्क्वेमस सैल कैंसर , बेसल सैल कैंसर , मिलेनिन सैल कैंसर ।";"स्क्वैमस सेल कैंसर , बेसल सेल कैंसर , मेलेनिन सेल कैंसर।";"16.017794"
"2325";"The melanin skin cancer is the most dangerous of all the three cancers mentioned above .";"उपरोक्त तीनों में से मिलेनिन सैल कैंसर सर्वाधिक खतरनाक होता है ।";"उपरोक्त तीनों में से मेलेनिन सेल कैंसर सबसे खतरनाक है।";"23.801761"
"2326";"While basal cell cancer is the least dangerous .";"जबकि बेसर सैल कैंसर सब से कम खतरनाक होता है ।";"जबकि बेसल सेल कैंसर सबसे कम खतरनाक होता है।";"16.146826"
"2327";"The cancer of skin generally appears in the form of a small tumor .";"त्वचा का कैंसर प्रायः एक छोटी गाँठ के रूप में प्रगट होता है ।";"त्वचा कैंसर आमतौर पर एक छोटी गांठ के रूप में प्रकट होता है।";"15.057703"
"2328";"This tumor can appear on any part of the body .";"यह गाँठ शरीर के किसी भी स्थान पर हो सकती है ।";"यह गांठ शरीर पर कहीं भी हो सकती है।";"8.991974"
"2329";"Like hand , leg , face etc. .";"जैसे हाथ , पैर , चेहरे आदि पर ।";"जैसे हाथ , पैर , चेहरे आदि पर।";"74.208848"
"2330";"The tumor can be of normal color or of black color .";"गाँठ या तो सामान्य रंग की हो सकती है या फिर काले रंग की ।";"गाँठ या तो सामान्य रंग की या काले रंग की हो सकती है।";"55.552242"
"2331";"In the initial stage the tumor is painless and therefore we commit serious mistake , because there is no pain in the tumor .";"प्रारंभिक अवस्था में गाँठ दर्द रहित होती है और इसी कारण हम से भयंकर भूल हो जाती है , क्योंकि गाँठ में दर्द नहीं होता है ।";"प्रारंभिक अवस्था में गाँठ दर्द रहित होती है और इस कारण हम एक भयानक गलती करते हैं , क्योंकि गाँठ में दर्द नहीं होता है।";"52.761514"
"2332";"Therefore , the patient does not pay attention towards the treatment of the tumor .";"इसलिए मरीज गाँठ के इलाज की ओर ध्यान नहीं देता है ।";"इसलिए मरीज गांठ के इलाज पर ध्यान नहीं देता है।";"18.796002"
"2333";"When the tumor grows pain develops in it and then on showing to the doctor it is found out that the tumor is of cancer .";"जब गाँठ बढ़ती है उसमें दर्द होने लगता है तब डाक्टर को दिखाने पर पता चलता है कि गाँठ कैंसर की है ।";"जब ट्यूमर बढ़ता है तो उसमें दर्द होने लगता है फिर डॉक्टर को दिखाने पर पता चलता है कि ट्यूमर कैंसर का है।";"42.902557"
"2334";"Which has spread in other parts of the body as well .";"जो शरीर के अन्य भागों में भी फैल चुका है ।";"जो शरीर के अन्य हिस्सों में भी फैल चुका है।";"47.538527"
"2335";"At times cancer appears in the form of a small wound .";"कभी - कभी कैंसर एक छोटे घाव के रूप में प्रगट होता है ।";"कभी - कभी कैंसर एक छोटे घाव के रूप में प्रकट होता है।";"69.810254"
"2336";"The problem is again that in condition of cancer occurring in wound generally there is no pain .";"समस्या फिर वही होती है कि घाव में कैंसर होने की अवस्था में प्रायः दर्द नहीं होता है ।";"समस्या फिर वही होती है कि आमतौर पर घाव में कैंसर की अवस्था में दर्द नहीं होता है।";"44.087469"
"2337";"The patient does not pay attention to it as it does not pain .";"दर्द न होने के कारण मरीज उस की ओर ध्यान नहीं देता है ।";"दर्द न होने के कारण रोगी इस पर ध्यान नहीं देता है।";"35.891886"
"2338";"The cancer of the wound increases and a stage comes when pain starts occurring in that .";"घाव का कैंसर बढ़ जाता है और एक अवस्था आती है कि उस में दर्द होने लगता है ।";"घाव का कैंसर बढ़ जाता है और एक ऐसी अवस्था आ जाती है जिसमें दर्द शुरू हो जाता है।";"20.038909"
"2339";"But by this time cancer is already spread in other parts of the body .";"पर इस समय तक कैंसर शरीर के अन्य भागों में फैल चुका होता है ।";"लेकिन इस समय तक कैंसर शरीर के अन्य हिस्सों में फैल चुका होता है।";"57.377741"
"2340";"At times cancer appears in hairless tumors .";"कभी - कभी हानि रहित गाँठ में कैंसर पैदा हो जाता है ।";"कभी - कभी कैंसर एक हानिरहित ट्यूमर में विकसित हो जाता है।";"15.863609"
"2341";"Therefore , do not forget any tumor .";"अतः किसी गाँठ को भूले नहीं ।";"तो कोई गांठ मत भूलना।";"3.580238"
"2342";"No matter if it is proved by the tests that the tumor is not harmful but when cancer would occur in such tumors , this is not known .";"जाँचों से भले ही सिद्ध हो जाए कि गाँठ हानिकारक नहीं है , पर कब ऐसी गाँठ में कैंसर उत्पन्न हो जाए , यह पता नहीं चल पाता है ।";"टेस्ट यह साबित कर सकते हैं कि ट्यूमर हानिकारक नहीं है , लेकिन ऐसे ट्यूमर में कैंसर कब विकसित होता है , इसका पता नहीं चलता है।";"11.860659"
"2343";"Still if harmless tumor persists in the body then be cautious of the following symptoms .";"फिर भी अगर शरीर में हानिरहित गाँठ है तो निम्न लक्षणों के प्रति सचेत रहे ।";"हालांकि , अगर शरीर में एक हानिरहित गाँठ है , तो निम्नलिखित लक्षणों से अवगत रहें।";"16.451929"
"2344";"Formation of wound in the tumor , rapid growth of tumor , pain in the tumor , change of color in the tumor .";"गाँठ में घाव बनना , गाँठ का तेजी से बढ़ना , गाँठ में दर्द होना , गाँठ में रंग परिवर्तन होना ।";"गांठ में घाव का बनना , गांठ का तेजी से बढ़ना , गांठ में दर्द , गांठ में रंग बदलना।";"12.245047"
"2345";"If any of the above mentioned symptoms appear in any of the harmless tumors then be cautious and immediately consult the doctor .";"अगर उपरोक्त में से कोई भी लक्षण किसी भी हानिरहित गाँठ में उत्पन्न होता है तो सचेत रहें और तुरंत डाक्टर से संपर्क करें ।";"यदि उपरोक्त में से कोई भी लक्षण किसी भी हानिरहित गांठ में होता है तो सतर्क हो जाएं और तुरंत डॉक्टर से संपर्क करें।";"42.459706"
"2346";"Cancer of any organ in body spreads either through blood or through lymph vessels : the cancer which spreads through blood is more harmful .";"शरीर के किसी भी अंग का कैंसर या तो रक् ‍ त से फैलता है या फिर लसिका वाहिनियों से जो कैंसर रक् ‍ त के द्वारा फैलते हैं , ज्यादा खतरनाक होते हैं ।";"शरीर के किसी भी अंग का कैंसर या तो रक्त के माध्यम से या लसीका वाहिकाओं से फैलता है। खून से फैलने वाले कैंसर ज्यादा खतरनाक होते हैं।";"29.043182"
